blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,26052,3317,44,8.8,362,70,1,6,20,5,45,10,0,0,0,0,0,0,0,0,0,0,1,0,0,31736,711,49,9.8,402,107,0,20,6,26,31,9,1,0,1,5,2,2,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,203,80,164,517,202,412,21,64,3,24
1,37815,4010,54,10.8,417,105,0,22,14,24,37,9,1,0,3,3,1,1,1,0,0,0,1,0,0,27896,1671,48,9.6,363,76,1,14,22,12,52,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,777,876,101,58,145,111,164,141,142
0,30664,2734,50,10.0,347,103,1,16,9,27,173,11,0,0,0,1,1,0,0,0,1,2,1,0,0,30187,1552,48,9.6,417,116,0,9,16,5,101,16,1,0,3,3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,246,245,432,202,98,126,517,51,76,412
1,30843,3473,49,9.8,394,89,1,16,3,25,29,12,1,0,3,1,0,0,1,0,1,2,1,0,0,23182,3357,44,8.8,381,72,0,3,16,8,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,117,111,64,21,3,555,4,60,235,164
1,36843,4618,55,11.0,453,116,1,22,9,30,48,20,1,0,1,2,0,1,1,0,1,2,1,0,0,26588,2108,45,9.0,353,84,0,9,22,18,47,14,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,10,497,29,104,412,59,27,134,429
0,30733,3630,49,9.8,400,72,0,10,18,11,27,9,1,0,1,2,0,1,1,0,0,0,1,0,0,34445,3287,52,10.4,359,144,1,18,10,22,29,8,0,0,0,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,421,89,145,131,41,120,81,27,23,40
1,35496,2643,52,10.4,383,137,1,18,6,23,78,8,1,0,3,3,1,1,1,0,1,2,1,0,0,25322,2132,46,9.2,380,84,0,6,18,6,66,10,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,51,164,266,245,432,8,81,43,876,91
0,30414,1844,49,9.8,390,81,1,14,26,21,63,10,0,0,0,0,0,0,0,0,0,0,0,0,0,36658,4123,53,10.6,402,128,0,26,14,28,83,15,1,0,3,3,2,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,54,84,51,98,107,79,76,157,236,80
1,34005,5730,55,11.0,436,121,0,21,11,22,77,12,0,0,0,0,0,0,0,0,1,1,0,0,0,32004,1264,49,9.8,460,62,1,11,21,13,38,15,1,0,2,3,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,91,81,76,53,84,517,236,412,104,51
0,32022,977,50,10.0,440,87,1,13,15,16,36,20,1,0,3,2,1,0,1,0,0,0,1,0,0,32834,2041,52,10.4,421,85,0,15,13,26,39,12,0,0,0,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,236,245,80,429,57,117,24,60,81,238
