blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,21890,4085,42,8.4,310,69,0,6,14,5,58,6,1,0,1,1,0,1,0,0,0,0,1,0,0,24483,1773,42,8.4,303,69,1,14,6,11,55,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,432,22,245,126,112,21,122,20,875,96
1,23528,4265,44,8.8,320,68,1,10,8,5,68,8,0,0,0,0,0,0,0,0,0,0,0,0,0,23569,3799,43,8.6,292,69,0,8,10,12,92,8,1,0,3,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,432,104,81,236,142,68,76,22,164,43
1,23924,2859,42,8.4,284,71,0,13,7,21,24,7,0,0,0,0,0,0,0,0,1,2,0,0,0,22514,1369,40,8.0,314,78,1,7,13,9,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,350,236,106,39,30,4,875,429,20,126
0,23065,3162,41,8.2,324,74,0,9,9,10,45,10,0,0,0,0,0,0,0,0,0,0,1,0,0,22238,2641,41,8.2,328,57,1,9,9,16,30,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,61,202,60,875,164,268,22,80,62,20
1,25016,2191,42,8.4,337,89,1,13,7,14,44,13,0,0,0,0,0,0,0,0,1,2,0,0,0,21070,2317,40,8.0,309,36,0,7,13,8,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,142,2,875,111,145,61,81,223,126,64
1,25028,3483,43,8.6,362,68,0,13,9,15,40,11,0,0,0,0,0,0,0,0,1,1,0,0,0,22699,1917,42,8.4,316,75,1,9,13,10,32,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,412,121,79,22,142,117,7,64,111,429
1,25566,2251,44,8.8,335,74,1,13,4,18,25,7,0,0,0,0,0,0,0,0,0,0,1,0,0,20087,2437,42,8.4,321,72,0,4,13,3,26,8,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,117,58,523,412,121,517,126,111,61,145
1,23862,4254,43,8.6,356,59,0,9,6,10,31,13,1,0,1,1,0,1,0,0,0,0,0,0,0,21383,2918,42,8.4,342,72,1,6,9,5,91,12,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,42,350,8,517,58,127,39,432,81,121
1,22707,1987,42,8.4,304,72,1,9,11,9,27,6,0,0,0,0,0,0,0,0,1,1,0,0,0,24029,3724,45,9.0,331,88,0,11,9,7,25,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,235,62,117,96,106,61,80,122,68,245
0,19522,4112,42,8.4,301,63,0,4,10,5,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,25512,5492,44,8.8,341,88,1,10,4,16,24,10,1,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,3,111,106,875,202,43,24,517,2,523
