gameId,blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragnoType,blueDragon,blueRiftHeralds,redWins,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragnoType,redDragon,redRiftHeralds
4656543193,Win,31168,5833,51,10.2,358,110,1,20,7,22,45,9,1,0,['MID_LANE'],1,1,0,0,0,0,['WATER_DRAGON'],1,1,Fail,25683,2273,46,9.2,401,84,0,7,20,2,25,7,0,0,[],2,0,1,1,0,1,['FIRE_DRAGON'],1,0
4656206734,Win,51336,5036,67,13.4,546,152,1,29,17,40,51,16,1,1,['MID_LANE'],6,3,1,2,1,0,"['EARTH_DRAGON', 'WATER_DRAGON']",2,2,Fail,39801,1746,61,12.2,568,124,0,17,29,19,42,13,0,0,[],4,2,0,2,0,1,['AIR_DRAGON'],1,0
4656083543,Fail,53900,3703,68,13.6,613,150,0,27,33,49,99,28,0,0,[],1,0,0,1,0,0,['WATER_DRAGON'],1,1,Win,59996,7039,74,14.8,599,221,1,33,27,58,61,23,1,0,['TOP_LANE'],9,3,3,3,0,1,"['FIRE_DRAGON', 'AIR_DRAGON', 'WATER_DRAGON', 'WATER_DRAGON']",4,1
4656036960,Fail,18819,1559,35,7.0,224,58,1,7,24,6,20,3,0,0,[],0,0,0,0,0,0,[],0,0,Win,29431,6506,42,8.4,257,69,0,24,7,37,22,6,1,1,['MID_LANE'],5,5,0,0,1,0,[],0,1
4655908621,Win,59069,1722,72,14.4,663,218,0,29,25,71,71,42,1,0,['BOT_LANE'],6,3,1,2,1,1,"['AIR_DRAGON', 'FIRE_DRAGON', 'FIRE_DRAGON']",3,1,Fail,58750,1798,77,15.4,668,174,1,25,29,67,73,24,0,1,[],5,2,1,2,1,0,['WATER_DRAGON'],1,1
4655941871,Fail,55159,3092,71,14.2,603,178,1,26,26,54,65,27,0,0,[],1,0,1,0,0,0,"['FIRE_DRAGON', 'WATER_DRAGON']",2,0,Win,56583,2436,72,14.4,644,224,0,26,26,52,65,19,1,1,['MID_LANE'],7,3,2,2,1,1,"['AIR_DRAGON', 'WATER_DRAGON', 'WATER_DRAGON']",3,2
4655755140,Fail,35947,3199,53,10.6,458,95,1,16,26,22,59,17,0,0,[],1,0,0,1,0,0,[],0,1,Win,42483,5328,60,12.0,529,154,0,26,16,23,72,22,1,1,['TOP_LANE'],6,3,3,0,1,1,"['WATER_DRAGON', 'EARTH_DRAGON', 'FIRE_DRAGON']",3,1
4655672528,Fail,39397,3654,56,11.2,533,100,0,14,28,14,38,18,1,0,['BOT_LANE'],3,1,1,1,0,0,[],0,2,Win,50268,4043,65,13.0,535,171,1,28,14,43,55,14,0,1,[],6,2,1,3,1,1,"['WATER_DRAGON', 'AIR_DRAGON', 'EARTH_DRAGON']",3,0
4655520167,Win,30837,5352,51,10.2,419,109,1,14,5,22,111,8,1,0,['TOP_LANE'],2,0,1,1,0,1,['AIR_DRAGON'],1,1,Fail,23072,1572,45,9.0,355,74,0,5,14,4,63,3,0,0,[],0,0,0,0,0,0,[],0,0
4654428616,Win,58192,5767,75,15.0,613,194,0,31,32,44,73,25,0,1,[],6,4,1,1,1,0,"['AIR_DRAGON', 'AIR_DRAGON']",2,1,Fail,54441,5058,72,14.4,526,191,1,32,31,38,64,28,1,0,['BOT_LANE'],5,2,2,1,0,1,"['EARTH_DRAGON', 'WATER_DRAGON']",2,1
4650043074,Win,50623,3834,69,13.8,699,127,0,20,23,44,74,47,0,0,[],1,1,0,0,0,1,"['WATER_DRAGON', 'FIRE_DRAGON', 'AIR_DRAGON']",3,0,Fail,56166,2877,72,14.4,648,207,1,23,20,40,103,39,1,1,['MID_LANE'],7,4,1,2,1,0,['AIR_DRAGON'],1,2
4648830055,Fail,56018,2450,72,14.4,632,191,0,22,42,37,77,39,0,1,[],2,2,0,0,1,1,"['AIR_DRAGON', 'WATER_DRAGON', 'EARTH_DRAGON']",3,1,Win,62775,3562,76,15.2,672,217,1,42,22,75,98,37,1,0,['TOP_LANE'],8,3,2,3,1,0,"['EARTH_DRAGON', 'EARTH_DRAGON']",2,1
4648745448,Win,54493,9593,69,13.8,676,142,1,25,24,48,86,26,1,1,['BOT_LANE'],7,5,1,1,1,1,"['EARTH_DRAGON', 'WATER_DRAGON', 'AIR_DRAGON']",3,1,Fail,51156,1683,70,14.0,634,155,0,24,25,32,84,24,0,0,[],6,1,3,2,0,0,['AIR_DRAGON'],1,1
4646849834,Fail,48716,1906,64,12.8,632,135,0,17,27,31,149,33,0,0,[],2,0,1,1,0,1,"['FIRE_DRAGON', 'WATER_DRAGON']",2,0,Win,56812,6379,70,14.0,659,185,1,27,17,60,135,26,1,1,['TOP_LANE'],10,5,2,3,2,0,"['AIR_DRAGON', 'WATER_DRAGON']",2,2
4646838079,Fail,45819,2094,63,12.6,557,137,1,20,36,35,49,13,0,0,[],0,0,0,0,0,1,"['FIRE_DRAGON', 'AIR_DRAGON', 'AIR_DRAGON']",3,1,Win,56679,3354,67,13.4,581,143,0,36,20,61,149,16,1,1,['BOT_LANE'],12,5,4,3,3,0,['WATER_DRAGON'],1,1
4646864053,Win,47585,4752,64,12.8,570,117,1,31,16,53,41,10,0,1,[],5,1,1,3,1,1,"['EARTH_DRAGON', 'WATER_DRAGON']",2,1,Fail,39154,2014,60,12.0,491,106,0,16,31,21,152,14,1,0,['TOP_LANE'],3,2,1,0,0,0,[],0,1
4646802441,Win,38100,9325,51,10.2,401,119,1,31,9,29,30,9,1,1,['BOT_LANE'],6,4,1,1,1,1,"['WATER_DRAGON', 'EARTH_DRAGON']",2,1,Fail,21711,2549,40,8.0,221,49,0,9,31,6,35,4,0,0,[],2,1,0,1,0,0,[],0,0
4646767717,Win,31064,9406,47,9.4,350,83,1,16,2,14,40,2,1,1,['BOT_LANE'],6,4,1,1,1,0,[],0,1,Fail,15685,1755,33,6.6,199,51,0,2,16,4,17,3,0,0,[],2,1,1,0,0,0,[],0,0
4646750012,Win,39028,4590,55,11.0,465,115,1,24,12,32,44,23,1,0,['BOT_LANE'],2,0,1,1,0,0,['WATER_DRAGON'],1,1,Fail,31914,1261,51,10.2,419,71,0,12,24,14,62,12,0,0,[],2,1,1,0,0,1,['AIR_DRAGON'],1,0
4646592943,Win,59628,7435,74,14.8,712,216,1,30,27,36,87,35,0,1,[],4,2,0,2,1,0,"['WATER_DRAGON', 'WATER_DRAGON']",2,2,Fail,51858,275,69,13.8,623,168,0,27,30,42,120,31,1,0,['TOP_LANE'],4,1,1,2,0,1,"['FIRE_DRAGON', 'AIR_DRAGON']",2,0
4646561206,Win,59154,7214,75,15.0,654,192,0,35,24,58,80,47,0,0,[],1,1,0,0,0,0,"['WATER_DRAGON', 'EARTH_DRAGON', 'EARTH_DRAGON']",3,2,Fail,53528,3360,72,14.4,712,149,1,24,35,39,124,33,1,0,['BOT_LANE'],7,2,2,3,0,1,['FIRE_DRAGON'],1,0
4646435364,Win,34495,5880,52,10.4,426,102,1,16,5,24,35,7,1,0,['MID_LANE'],3,2,0,1,0,0,['EARTH_DRAGON'],1,1,Fail,25206,3221,45,9.0,367,100,0,5,16,6,28,6,0,0,[],2,0,2,0,0,1,['FIRE_DRAGON'],1,0
