,blueWins,blueChamps,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redChamps,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon
11798,0,"[236, 131, 84, 517, 126]",22339,1354,42,8.4,64,43,1,9,25,14,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[64, 412, 126, 875, 85]",30448,5238,47,9.4,78,31,0,25,9,51,12,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11799,1,"[163, 412, 58, 64, 523]",40821,5432,53,10.6,445,109,1,28,11,25,46,10,1,1,1,5,2,3,0,2,1,1,1,0,0,"[81, 134, 20, 875, 62]",28604,2211,45,9.0,360,75,0,11,28,17,33,12,0,0,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11800,0,"[412, 21, 126, 7, 64]",30284,1329,51,10.2,382,98,0,11,12,16,41,10,1,0,1,1,0,1,0,0,0,0,2,0,0,"[30, 106, 875, 236, 238]",31561,4126,51,10.2,424,113,1,12,11,18,41,11,0,0,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0
11801,0,"[43, 523, 58, 245, 106]",31101,2886,51,10.2,396,86,1,12,23,11,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"[142, 104, 235, 57, 78]",36937,3202,54,10.8,430,118,0,23,12,18,55,16,1,0,1,4,1,2,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0
11802,0,"[106, 203, 412, 427, 22]",33439,3939,51,10.2,435,95,1,18,15,25,64,9,1,0,3,1,0,0,1,0,1,1,1,0,0,"[523, 53, 164, 4, 141]",33643,3323,52,10.4,416,136,0,15,18,17,57,12,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
11803,0,"[58, 43, 104, 4, 22]",34148,3233,52,10.4,461,107,1,12,8,25,49,16,1,0,1,2,0,2,0,0,0,1,2,0,0,"[106, 20, 163, 81, 350]",30262,2282,50,10.0,467,103,0,8,12,17,32,17,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
11804,1,"[429, 58, 875, 85, 517]",30229,2394,50,10.0,398,94,0,14,6,13,38,13,0,0,0,0,0,0,0,0,1,2,1,0,0,"[523, 106, 98, 421, 131]",23307,457,43,8.6,353,81,1,6,14,5,44,11,1,0,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11805,0,"[85, 523, 64, 61, 412]",30806,2026,49,9.8,405,77,0,12,16,16,42,15,1,0,3,1,0,0,1,0,0,1,1,0,0,"[517, 76, 875, 21, 89]",32240,4665,52,10.4,413,125,1,16,12,16,71,18,0,0,0,2,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
11806,1,"[57, 64, 432, 142, 22]",38440,3980,54,10.8,428,91,1,24,9,29,97,10,1,1,2,7,4,0,3,2,1,1,1,0,0,"[69, 62, 421, 523, 412]",25330,4330,45,9.0,299,51,0,9,24,13,91,10,0,0,0,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11807,1,"[164, 7, 432, 145, 64]",32363,2315,53,10.6,421,109,0,15,14,23,91,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"[76, 58, 62, 81, 111]",33208,1784,52,10.4,451,109,1,14,15,16,119,17,1,0,2,4,2,1,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0
11808,0,"[30, 81, 164, 875, 268]",28115,1657,47,9.4,416,55,1,9,16,9,33,8,0,0,0,0,0,0,0,0,0,0,1,0,0,"[62, 114, 91, 154, 235]",31339,3729,52,10.4,366,117,0,16,9,13,29,11,1,0,1,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0
11809,1,"[222, 412, 142, 104, 106]",32358,2398,53,10.6,472,113,0,11,6,11,64,15,1,0,3,2,0,1,1,0,0,1,1,0,0,"[121, 61, 145, 126, 432]",27795,2235,51,10.2,471,85,1,6,11,2,118,15,0,0,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
11810,0,"[412, 3, 120, 145, 106]",32052,2381,49,9.8,363,123,0,17,17,20,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"[7, 12, 875, 523, 57]",33724,5577,50,10.0,378,79,1,17,17,23,37,6,1,0,1,5,2,1,2,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0
11811,0,"[517, 246, 20, 145, 875]",32418,3289,49,9.8,457,93,1,13,13,17,42,16,1,0,2,2,1,0,1,0,0,0,1,0,0,"[429, 12, 62, 516, 60]",29655,2240,50,10.0,401,97,0,13,13,18,39,12,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0
11812,1,"[57, 134, 20, 53, 238]",31426,4416,49,9.8,386,79,1,21,7,27,30,7,1,0,1,1,0,1,0,0,1,2,0,0,0,"[84, 111, 68, 80, 235]",24416,2981,43,8.6,326,70,0,7,21,12,35,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
11813,1,"[142, 2, 145, 62, 875]",36322,3507,54,10.8,411,124,1,25,7,27,44,7,1,0,2,2,1,1,0,0,1,2,1,0,0,"[523, 134, 201, 114, 104]",25611,3306,46,9.2,389,89,0,7,25,6,21,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11814,0,"[57, 142, 104, 126, 235]",26787,2489,48,9.6,392,107,0,5,13,6,53,17,1,0,3,1,0,0,1,0,1,2,1,0,0,"[62, 432, 7, 22, 64]",28746,1769,49,9.8,365,95,1,13,5,19,119,11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
11815,0,"[104, 134, 236, 89, 24]",23415,3080,45,9.0,364,99,0,5,19,6,29,13,0,0,0,0,0,0,0,0,0,0,1,0,0,"[245, 131, 62, 875, 145]",30865,3240,49,9.8,403,80,1,19,5,21,33,9,1,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0
11816,0,"[429, 412, 517, 48, 23]",26483,3583,47,9.4,374,92,0,6,14,10,32,14,0,0,0,1,0,1,0,0,0,0,1,0,0,"[61, 22, 875, 82, 223]",31680,3557,49,9.8,410,76,1,14,6,27,46,10,1,0,3,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11817,1,"[89, 517, 523, 76, 555]",31818,6618,47,9.4,358,100,1,15,11,24,56,6,0,0,0,1,1,0,0,0,0,0,1,0,0,"[62, 157, 79, 22, 432]",24190,2390,43,8.6,310,94,0,11,15,5,91,3,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11818,0,"[43, 523, 54, 64, 7]",24241,1866,44,8.8,306,58,0,8,22,10,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"[110, 12, 62, 245, 517]",34028,3203,49,9.8,385,101,1,22,8,23,32,11,1,1,3,4,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
11819,0,"[57, 421, 875, 22, 161]",24439,2164,43,8.6,344,70,1,9,24,11,35,13,0,0,0,0,0,0,0,0,0,0,1,0,0,"[60, 89, 106, 246, 429]",31426,5676,49,9.8,354,92,0,24,9,33,50,14,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11820,1,"[39, 145, 106, 30, 62]",34976,1266,50,10.0,422,124,0,17,10,20,40,12,1,0,2,4,2,2,0,0,1,1,1,0,0,"[164, 9, 412, 429, 236]",28919,1851,47,9.4,406,91,1,10,17,9,36,19,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
11821,1,"[80, 134, 2, 57, 145]",33144,2301,50,10.0,436,95,1,15,15,12,44,20,1,0,1,3,1,1,1,0,0,1,1,0,0,"[64, 79, 7, 429, 78]",31521,5846,52,10.4,427,96,0,15,15,20,53,14,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
11822,0,"[76, 62, 145, 412, 57]",31701,4086,52,10.4,365,104,0,17,21,13,56,17,0,0,0,1,0,1,0,0,0,0,0,0,0,"[104, 80, 85, 81, 25]",36798,4000,52,10.4,424,118,1,21,17,24,53,15,1,0,3,3,2,0,1,0,1,3,1,0,0,0,0,0,0,0,1,1,0,1,0
11823,1,"[145, 875, 76, 23, 246]",34643,5268,51,10.2,441,127,1,16,8,19,67,17,1,0,2,4,2,1,1,0,1,2,2,0,0,"[6, 20, 122, 523, 555]",25506,2841,46,9.2,343,60,0,8,16,12,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
11824,1,"[106, 67, 45, 99, 112]",51586,4851,77,15.4,188,0,1,35,31,108,0,46,1,0,2,1,1,0,0,0,0,0,0,0,0,"[76, 62, 350, 420, 82]",52212,8862,78,15.6,205,0,0,31,35,62,71,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11825,1,"[57, 523, 245, 246, 412]",35831,5027,52,10.4,401,89,0,21,12,27,31,16,1,0,1,4,1,2,1,0,0,0,1,0,0,"[145, 62, 104, 68, 875]",31271,3251,50,10.0,422,87,1,12,21,19,38,11,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11826,1,"[15, 134, 350, 58, 203]",35184,5124,54,10.8,451,119,1,16,13,12,31,13,1,0,1,1,0,1,0,0,0,1,2,0,0,"[104, 245, 81, 43, 62]",28227,4042,51,10.2,383,67,0,13,16,17,32,10,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
11827,1,"[141, 38, 432, 23, 22]",32119,3179,54,10.8,441,121,0,11,6,13,80,12,0,0,0,3,1,1,1,0,0,1,0,0,0,"[134, 235, 41, 60, 875]",27657,2619,47,9.4,403,74,1,6,11,10,76,8,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
11828,0,"[154, 81, 64, 245, 106]",26703,2732,50,10.0,420,96,0,4,9,5,36,3,0,0,0,0,0,0,0,0,0,0,1,0,0,"[268, 235, 266, 421, 57]",30383,2648,52,10.4,462,104,1,9,4,13,38,16,1,0,3,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0
11829,0,"[875, 429, 106, 37, 142]",49629,2929,74,14.8,175,0,1,32,37,70,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[150, 43, 8, 13, 25]",52820,6240,79,15.8,166,0,0,37,32,92,0,0,1,1,2,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
